Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
2026-06-14,24,0,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2026-06-15,88,0,88,22,5,0,5,8,0,8,0,0,0,1,0,1,0.159090909090909,0,0.159090909090909
2026-06-16,201,0,201,121,3,0,3,31,0,31,0,0,0,2,0,2,0.17910447761194,0,0.17910447761194
2026-06-17,1467,0,1467,548,138,0,138,34,0,34,0,0,0,0,0,0,0.117246080436264,0,0.117246080436264
2026-06-18,965,0,965,480,62,0,62,37,0,37,1,0,1,0,0,0,0.103626943005181,0,0.103626943005181
2026-06-19,1383,0,1383,551,494,0,494,48,0,48,2,0,2,0,0,0,0.393347794649313,0,0.393347794649313
2026-06-20,411,0,411,175,229,0,229,14,0,14,0,0,0,0,0,0,0.591240875912409,0,0.591240875912409
2026-06-21,203,0,203,106,68,0,68,5,0,5,0,0,0,0,0,0,0.359605911330049,0,0.359605911330049
2026-06-22,488,0,488,167,106,0,106,25,0,25,0,0,0,1,0,1,0.270491803278689,0,0.270491803278689
2026-06-23,209,0,209,113,19,0,19,8,0,8,0,0,0,0,0,0,0.129186602870813,0,0.129186602870813
2026-06-24,168,0,168,68,13,0,13,0,0,0,0,0,0,0,0,0,0.0773809523809524,0,0.0773809523809524
2026-06-25,124,0,124,58,24,0,24,4,0,4,0,0,0,0,0,0,0.225806451612903,0,0.225806451612903
2026-06-26,184,0,184,91,155,0,155,9,0,9,0,0,0,0,0,0,0.891304347826087,0,0.891304347826087
2026-06-27,148,0,148,80,61,0,61,2,0,2,0,0,0,0,0,0,0.425675675675676,0,0.425675675675676
2026-06-28,138,0,138,73,36,0,36,6,0,6,0,0,0,0,0,0,0.304347826086957,0,0.304347826086957
2026-06-29,198,0,198,106,44,0,44,5,0,5,0,0,0,0,0,0,0.247474747474748,0,0.247474747474748
2026-06-30,62,0,62,39,24,0,24,4,0,4,0,0,0,0,0,0,0.451612903225806,0,0.451612903225806
2026-07-01,109,0,109,57,41,0,41,7,0,7,0,0,0,0,0,0,0.440366972477064,0,0.440366972477064
2026-07-02,101,0,101,44,1,0,1,0,0,0,0,0,0,0,0,0,0.0099009900990099,0,0.0099009900990099
2026-07-03,281,0,281,172,4,0,4,17,0,17,0,0,0,0,0,0,0.0747330960854093,0,0.0747330960854093
2026-07-04,141,0,141,87,3,0,3,1,0,1,0,0,0,0,0,0,0.0283687943262411,0,0.0283687943262411
2026-07-05,108,0,108,50,16,0,16,3,0,3,0,0,0,0,0,0,0.175925925925926,0,0.175925925925926
2026-07-06,77,0,77,30,23,0,23,2,0,2,0,0,0,0,0,0,0.324675324675325,0,0.324675324675325
2026-07-07,69,0,69,38,5,0,5,2,0,2,0,0,0,0,0,0,0.101449275362319,0,0.101449275362319
2026-07-08,83,0,83,36,8,0,8,10,0,10,0,0,0,0,0,0,0.216867469879518,0,0.216867469879518
2026-07-09,122,0,122,58,11,0,11,8,0,8,0,0,0,0,0,0,0.155737704918033,0,0.155737704918033
2026-07-10,207,0,207,71,4,0,4,8,0,8,0,0,0,0,0,0,0.0579710144927536,0,0.0579710144927536
2026-07-11,114,0,114,37,4,0,4,7,0,7,0,0,0,0,0,0,0.0964912280701754,0,0.0964912280701754
2026-07-12,81,0,81,39,1,0,1,1,0,1,0,0,0,0,0,0,0.0246913580246914,0,0.0246913580246914
2026-07-13,101,0,101,57,3,0,3,7,0,7,0,0,0,0,0,0,0.099009900990099,0,0.099009900990099
2026-07-14,218,0,218,86,3,0,3,14,0,14,0,0,0,0,0,0,0.0779816513761468,0,0.0779816513761468
2026-07-15,176,0,176,71,5,0,5,17,0,17,0,0,0,0,0,0,0.125,0,0.125
2026-07-16,193,0,193,89,2,0,2,10,0,10,0,0,0,0,0,0,0.0621761658031088,0,0.0621761658031088
2026-07-17,122,0,122,74,1,0,1,4,0,4,0,0,0,0,0,0,0.040983606557377,0,0.040983606557377
2026-07-18,46,0,46,27,10,0,10,2,0,2,0,0,0,0,0,0,0.260869565217391,0,0.260869565217391
