dimension,followers
"London Area, United Kingdom, United Kingdom",396
"Mumbai Metropolitan Region, India",88
New York City Metropolitan Area,53
"Greater Bengaluru Area, India",51
"Greater Chennai Area, India",48
"Manchester Area, United Kingdom, United Kingdom",39
"Tyneside Area, United Kingdom",36
"Greater Glasgow Area, United Kingdom",35
"Greater Brighton and Hove Area, United Kingdom",34
"Greater Cambridge Area, United Kingdom",34
"Greater Leeds Area, United Kingdom",34
"Greater Hyderabad Area, India",33
"Greater Oxford Area, United Kingdom",32
Atlanta Metropolitan Area,31
Greater Chicago Area,29
"Greater Edinburgh Area, United Kingdom",28
"Pune/Pimpri-Chinchwad Area, India",27
Greater Boston,26
"Greater Delhi Area, India",25
Washington DC-Baltimore Area,24
"Birmingham, United Kingdom",24
"Greater Sheffield Area, United Kingdom",22
Miami-Fort Lauderdale Area,22
"Greater Leicester Area, United Kingdom",21
Greater Philadelphia,20
"Greater Liverpool Area, United Kingdom",19
"Greater Nottingham, United Kingdom",19
"Greater Bristol Area, United Kingdom, United Kingdom",17
"Greater Ahmedabad Area, India",17
San Francisco Bay Area,16
"Greater Coventry Area, United Kingdom",15
"Greater Cardiff Area, United Kingdom",14
Greater Houston,12
Los Angeles Metropolitan Area,12
"Greater Reading Area, United Kingdom",12
Greater Indianapolis,12
"Greater Southampton Area, United Kingdom",12
Raleigh-Durham-Chapel Hill Area,11
"Greater Swansea Area, United Kingdom",10
"Milton Keynes, United Kingdom",10
"Greater Plymouth Area, United Kingdom",10
"York, United Kingdom",9
"Greater Kolkata Area, India",9
Dallas-Fort Worth Metroplex,9
"Greater Bournemouth Area, United Kingdom",9
"Greater Sydney Area, Australia",9
"Noida, India",9
"Belfast Metropolitan Area, United Kingdom",8
Tallahassee Metropolitan Area,8
Detroit Metropolitan Area,7
Greater Augusta Area,7
"Greater Stoke-on-Trent Area, United Kingdom",7
"Durham, United Kingdom",7
"Albany, New York Metropolitan Area",7
"Greater Norwich Area, United Kingdom, United Kingdom",7
Greater Phoenix Area,6
"Greater Portsmouth Area, United Kingdom",6
"Greater Adelaide Area, Australia",6
Denver Metropolitan Area,5
"Greater Agra Area, India",5
"Bhubaneswar, India",5
"Bath, United Kingdom",5
Greater Pittsburgh Region,5
"Greater Cheltenham Area, United Kingdom",5
"Greater Melbourne Area, Australia",5
Greater Cleveland,5
"Greater Northampton Area, United Kingdom, United Kingdom",5
Kansas City Metropolitan Area,5
"Greater Indore Area, India",5
"Greenville-Spartanburg-Anderson, South Carolina Area",5
Greater Orlando,5
Greater St. Louis,5
"Greater Toronto Area, Canada, Canada",4
"Chichester, United Kingdom",4
"Cairo, Egypt",4
Grand Rapids Metropolitan Area,4
Gainesville Metropolitan Area,4
"Chatham, United Kingdom",4
Greensboro--Winston-Salem--High Point Area,4
Des Moines Metropolitan Area,4
"Greater Derby Area, United Kingdom",4
Greater Tampa Bay Area,4
"Bangor, United Kingdom",4
Nashville Metropolitan Area,4
"Greater Exeter Area, United Kingdom",4
"Kingston upon Hull, England Metropolitan Area, United Kingdom",4
"Greater Middlesbrough and Stockton Area, United Kingdom",4
"Slough, United Kingdom",4
"Greater Dublin, Ireland",4
"Greater Lincoln Area, United Kingdom, United Kingdom",4
Singapore,4
"Hampton Roads, Virginia Metropolitan Area",4
"Geneva Metropolitan Area, Switzerland",4
"Greater Aberdeen Area, United Kingdom",3
"Wolverhampton, United Kingdom",3
"Islamabad, Pakistan",3
"Worcester and Kidderminster Area, United Kingdom",3
Greater Richmond Region,3
Greater Seattle Area,3
"Solihull, United Kingdom",3
