post_id,created_date,hook,post_time_local,timezone,target_region,media_type,image_subject,image_colour_theme,has_face_in_image,text_on_image,headline_on_image,video_length_sec,video_topic,video_has_captions,campaign,notes
7472536161136193536,2026-06-16,ARMA 2026 is here!,,,,,,,,,,,,,,
7472680964054384640,2026-06-16,We are now in Harrogate!,,,,,,,,,,,,,,
7472551067826814976,2026-06-16,,,,,,,,,,,,,,,
7472915819149189122,2026-06-17,The GrantsNow team enjoyed the ARMA Pub Quiz last night,,,,,,,,,,,,,,
7473096663725707265,2026-06-17,We are at ARMA! Come meet the team at our desk!,,,,,,,,,,,,,,
7473373602705248256,2026-06-18,It was lovely meeting and chatting with everyone in person at ARMA. ,,,,,,,,,,,,,,
7473645838729109504,2026-06-19,ARMA Wrap from GrantsNow...,,,,,,,,,,,,,,
7473698646396555264,2026-06-19,Congratulations to Wellcome Sanger Institute for winning the Innovation in Research Management Award at ARMA 2026. ,,,,,,,,,,,,,,
7474831101769912320,2026-06-22,"We know every funder has different rules, manually looking this up over lots of funders takes up valuable time.",,,,,,,,,,,,,,
7476203732867735552,2026-06-26,"Still managing grants across emails, spreadsheets, and disconnected systems? Learn how universities are simplifying the ",,,,,,,,,,,,,,
7477323401225719808,2026-06-29,Are manual proposal updates across emails or spreadsheets slowing down your bid process? GrantsNow gives everyone a sing,,,,,,,,,,,,,,
7478022878341361664,2026-07-01,"Role-based access helps universities give researchers, reviewers, finance teams, and administrators access only to the i",,,,,,,,,,,,,,
7478747715691008000,2026-07-03,Manually pulling together proposal details from multiple sources before you have even started writing is time nobody can,,,,,,,,,,,,,,
7478730620421025792,2026-07-03,The most valuable conversations at #ARMA2026 weren't about software. They were about the everyday challenges research te,,,,,,,,,,,,,,
7480198934196379648,2026-07-07,Missed feedback and multiple document versions can put funding applications at risk. Explore how a structured approach t,,,,,,,,,,,,,,
7480923737064689664,2026-07-09,,,,,,,,,,,,,,,
7481020822741073920,2026-07-09,"Proposal rework can become difficult to manage when feedback, document changes, and approvals are spread across multiple",,,,,,,,,,,,,,
7481391339167944706,2026-07-10,"Researchers, administrators, reviewers, and finance teams each need access to different information throughout the fundi",,,,,,,,,,,,,,
7482820498771529728,2026-07-14,"GrantsNow uses AI to surface relevant funding opportunities based on your research areas, favourite funders and team pre",,,,,,,,,,,,,,
7483460514187112449,2026-07-16,,,,,,,,,,,,,,,
7483483091794182144,2026-07-16,"Proposal feedback, peer reviews, and approvals shouldn't disappear into inboxes. Discover how keeping every discussion l",,,,,,,,,,,,,,
7483849474553966592,2026-07-17,"Every proposal generates questions, feedback, and approvals. When they're managed across email, finding the right inform",,,,,,,,,,,,,,
