Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Life page views (desktop),Life page views (mobile),Life page views (total),Life unique visitors (desktop),Life unique visitors (mobile),Life unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
2026-06-19,1,26,27,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,32,33,1,5,6
2026-06-20,0,9,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,3,3
2026-06-21,2,6,8,2,2,4,0,0,0,0,0,0,0,1,1,0,1,1,2,10,12,2,2,4
2026-06-22,4,12,16,2,4,6,0,0,0,0,0,0,0,4,4,0,3,3,5,19,24,2,7,9
2026-06-23,1,3,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,2,2
2026-06-24,1,7,8,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12,1,5,6
2026-06-25,0,9,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,2,2
2026-06-26,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,3,3
2026-06-27,4,3,7,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,3,4,6
2026-06-28,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
2026-06-29,1,3,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,2,3
2026-06-30,0,5,5,0,3,3,0,0,0,0,0,0,0,1,1,0,1,1,0,7,7,0,3,3
2026-07-01,2,5,7,1,4,5,0,0,0,0,0,0,0,1,1,0,1,1,2,10,12,1,4,5
2026-07-02,7,1,8,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12,4,1,5
2026-07-03,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2
2026-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-06,17,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,1,0,1
2026-07-07,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2
2026-07-08,0,7,7,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,9,9,0,2,2
2026-07-09,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2
2026-07-10,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2
2026-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1
2026-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-13,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,2,2,0,2,2
2026-07-14,4,2,6,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4,2,6
2026-07-15,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
2026-07-16,4,14,18,4,8,12,0,0,0,0,0,0,1,4,5,1,3,4,8,22,30,4,8,12
2026-07-17,3,3,6,2,3,5,0,0,0,0,0,0,0,2,2,0,2,2,3,11,14,2,4,6
2026-07-18,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1
