Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
2025-07-20,8,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-07-21,7,0,7,4,0,0,0,1,0,1,0,0,0,0,0,0,0.14285714285714285,0,0.14285714285714285
2025-07-22,18,0,18,10,1,0,1,1,0,1,0,0,0,0,0,0,0.1111111111111111,0,0.1111111111111111
2025-07-23,96,0,96,39,5,0,5,3,0,3,0,0,0,0,0,0,0.08333333333333333,0,0.08333333333333333
2025-07-24,263,0,263,122,18,0,18,11,0,11,0,0,0,0,0,0,0.11026615969581749,0,0.11026615969581749
2025-07-25,350,0,350,158,15,0,15,15,0,15,1,0,1,0,0,0,0.08857142857142856,0,0.08857142857142856
2025-07-26,188,0,188,87,10,0,10,6,0,6,0,0,0,0,0,0,0.0851063829787234,0,0.0851063829787234
2025-07-27,77,0,77,38,3,0,3,1,0,1,0,0,0,0,0,0,0.05194805194805195,0,0.05194805194805195
2025-07-28,92,0,92,52,6,0,6,5,0,5,0,0,0,0,0,0,0.11956521739130435,0,0.11956521739130435
2025-07-29,79,0,79,37,5,0,5,2,0,2,0,0,0,0,0,0,0.08860759493670886,0,0.08860759493670886
2025-07-30,105,0,105,44,5,0,5,10,0,10,0,0,0,0,0,0,0.14285714285714285,0,0.14285714285714285
2025-07-31,163,0,163,101,5,0,5,6,0,6,0,0,0,0,0,0,0.06748466257668712,0,0.06748466257668712
2025-08-01,98,0,98,63,4,0,4,4,0,4,0,0,0,0,0,0,0.08163265306122448,0,0.08163265306122448
2025-08-02,69,0,69,49,0,0,0,2,0,2,0,0,0,0,0,0,0.028985507246376812,0,0.028985507246376812
2025-08-03,68,0,68,45,1,0,1,1,0,1,0,0,0,0,0,0,0.029411764705882353,0,0.029411764705882353
2025-08-04,140,0,140,92,6,0,6,2,0,2,2,0,2,0,0,0,0.07142857142857142,0,0.07142857142857142
