week_label,week_start,emails_sent,contacts,delivered,bounced,opened,clicks,delivered_pct_reported,bounced_pct_reported,opened_pct_reported,clicks_pct_reported,ab_a_contacts,ab_b_contacts,ab_a_delivered,ab_b_delivered,replies,interested_companies_count,interested_companies_raw,newsletter_subs,newsletter_note,delivery_rate,bounce_rate,open_rate,click_rate,ctor
December 8-12,2024-12-08,4.0,386.0,368.0,18.0,30.0,4.0,,,,,,,,,0.0,6,London School of Hygeine and Tropical Medicine; Norwich University of Arts; University of Staffordshire; Northumbria University; Nottingham Trent University; University of Stathclyde,,"Lower Open rate due to christmas, New interest from Norwich university of Art, High interest from Worktribe users",0.9533678756476683,0.046632124352331605,0.08152173913043478,0.010869565217391304,0.13333333333333333
December 15-19,2024-12-15,10.0,1699.0,1609.0,59.0,164.0,16.0,,,,,,,,,,0,,,,0.9470276633313714,0.034726309593878756,0.1019266625233064,0.009944064636420136,0.0975609756097561
December 19-31,2024-12-22,10.0,1699.0,1609.0,59.0,164.0,16.0,,,,,,,,,,0,,,,0.9470276633313714,0.034726309593878756,0.1019266625233064,0.009944064636420136,0.0975609756097561
January 5-12th,2024-12-29,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0,,0.0,,,,,,
Jan 12th - Jan 15th,2025-01-05,1.0,176.0,166.0,10.0,32.0,0.0,,,,,,,,,0.0,0,,,"University of Northampton and Queens belfast 
opened 32 times - get contacts",0.9431818181818182,0.056818181818181816,0.1927710843373494,0.0,0.0
Jan  18th - Jan 23rd,2025-01-12,4.0,489.0,463.0,26.0,36.0,9.0,,,,,,,,,0.0,10,The open university; Loughborough university; California polytechnic state university san luisa obispo; Kelper; University of wisconsin; institute for study abroad; University of washington; Universidad de las amacricas; Royal holloway; manchester metropolitan,,,0.9468302658486708,0.053169734151329244,0.07775377969762419,0.019438444924406047,0.25
jan 23rd  - 30th,2025-01-19,2.0,272.0,255.0,17.0,24.0,1.0,,,,,,,,,,5,Swansea University; University of Sheffield; University of Aberdeen; UCL; Royal Veterinary College - Director Of Research & Innovation Services,,Follow up email 1-1,0.9375,0.0625,0.09411764705882353,0.00392156862745098,0.041666666666666664
Feb 1st-10th,2025-01-26,1.0,14.0,13.0,1.0,0.0,0.0,,,,,,,,,,0,,,New target campaigns started - entire week been crafting email and planning strategy,0.9285714285714286,0.07142857142857142,0.0,0.0,
Feb 10-13th,2025-02-02,2.0,55.0,68.0,1.0,8.0,0.0,,,,,,,,,,0,,,,1.2363636363636363,0.01818181818181818,0.11764705882352941,0.0,0.0
Feb 13th-20th,2025-02-09,6.0,962.0,818.0,144.0,83.0,7.0,,,0.1,,,,,,,7,Anglia Ruskin; The leverhulme trust; The marsh accademy; Goldsmiths; University of aberdeen; Ustler university; University of east london,,,0.8503118503118503,0.1496881496881497,0.1,0.008557457212713936,0.08433734939759036
23-28th Feb,2025-02-16,4.0,1467.0,1309.0,158.0,151.0,21.0,,,0.12,,,,,,,0,,,,0.8922972051806408,0.10770279481935924,0.12,0.016042780748663103,0.1390728476821192
2nd - 7th March,2025-02-23,2.0,320.0,318.0,2.0,33.0,6.0,,,0.1,,,,,,,2,Anglia ruskin university; Ulster university,,,0.99375,0.00625,0.1,0.018867924528301886,0.18181818181818182
march week 3,2025-03-02,,,,,,,,,,,,,,,,0,,,,,,,,
march week 4,2025-03-09,3.0,199.0,188.0,11.0,51.0,20.0,,,0.258,0.39,,,,,,4,University of Ulster; University of Northampton; University of East London; University Birbeck,,,0.9447236180904522,0.05527638190954774,0.258,0.39,0.39215686274509803
March final week(30th),2025-03-16,2.0,77.0,77.0,0.0,39.0,25.0,,,,,,,,,,5,Northampton; Middlesex; Teeside; Research to practice; Anglia ruskin,,,1.0,0.0,0.5064935064935064,0.3246753246753247,0.6410256410256411
April week 1 (6th),2025-03-23,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0,,,,,,,,
April week 2 (13th),2025-03-30,1.0,52.0,51.0,1.0,30.0,12.0,,,,,,,,,,0,,,,0.9807692307692307,0.019230769230769232,0.5882352941176471,0.23529411764705882,0.4
April week 3 (20th),2025-04-06,,,,,,,,,,,,,,,,0,,,,,,,,
april week 4,2025-04-13,1.0,934.0,916.0,18.0,76.0,21.0,,,,,,,,,,7,Northumbria University; University Of Essex; University Of Surrey; Anglia Ruskin University; Ulster University; The Manchester Metropolitan University; Queen Mary University of London,,,0.9807280513918629,0.019271948608137045,0.08296943231441048,0.02292576419213974,0.27631578947368424
May week 1,2025-04-20,2.0,1139.0,1027.0,112.0,119.0,54.0,,,,,,,,,,10,University of Essex; University of Surrey; The Courtauld Institute Of Art; East Midlands Education Trust; UCL; Uslter University; University of London; York St John University; University Of Bedfordshire; University Of Glasgow,,,0.9016681299385426,0.09833187006145742,0.11587147030185005,0.05258033106134372,0.453781512605042
May week 2,2025-04-27,2.0,2590.0,2492.0,100.0,231.0,94.0,,,,,,,,,,10,Queen's University Belfast; The Manchester Metropolitan University; Royal Holloway University Of London; Goldsmiths University Of London; Marie Curie UK; University Of Northampton Students; University Of Southampton; University Of Glasgow College Of Medical Veterinary And Life; University Of Southampton; Edge Hill University,,,0.9621621621621622,0.03861003861003861,0.09269662921348315,0.0377207062600321,0.4069264069264069
May Week 3,2025-05-04,4.0,43.0,41.0,2.0,4.0,2.0,0.96,0.04,0.09,0.04,,,,,,2,The University Of Manchester; Newcastle University,,,0.96,0.04,0.09,0.04,0.5
May Week 4,2025-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2,UCL (University College London); The University Of Manchester,,,,,,,
June Week 1,2025-05-18,2.0,3.0,3.0,0.0,0.0,0.0,,,,,3.0,3.0,3.0,3.0,,4,University College London (UCL); The University of Manchester; King's College London; Queen Mary University of London,,,1.0,0.0,0.0,0.0,
June Week 2,2025-05-25,6.0,3160.0,3025.0,135.0,205.0,16.0,0.9570000000000001,0.043,0.065,0.005,,,,,,12,Cambridge University Press & Assessment; Imperial College London; The London School Of Economics And Political Science; University Of Glasgow; University Of Birmingham; The University Of Sheffield; The University Of Manchester; University Of Bristol; University Of Leeds; Emmanuel College; Newcastle University; University Of Westminster,,,0.9570000000000001,0.043,0.065,0.005,0.07804878048780488
