institution,contacts_held,research,finance,it_systems,personas_held,what_is_missing,priority,institution_key
University of Manchester,205,156,39,8,3,complete,-,manchester university
King's College London,177,173,2,1,3,complete,-,king s college london
Coventry University,168,147,10,4,3,complete,-,coventry university
University of Sussex,158,117,22,4,3,complete,-,sussex university
University of Edinburgh,131,86,31,7,3,complete,-,edinburgh university
University of Liverpool,124,108,12,2,3,complete,-,liverpool university
The University of Sheffield,115,95,14,3,3,complete,-,sheffield university
The Manchester Metropolitan University,109,76,17,14,3,complete,-,manchester metropolitan university
University of York,92,77,10,3,3,complete,-,york university
Cardiff University,86,52,19,7,3,complete,-,cardiff university
University Of Exeter,95,73,13,9,3,complete,-,exeter university
Newcastle University,87,86,0,1,2,Finance  ,1 - high,newcastle university
The Open University,90,70,12,5,3,complete,-,open university
Anglia Ruskin University,89,66,4,6,3,complete,-,anglia ruskin university
University of Glasgow,77,72,1,4,3,complete,-,glasgow university
The London School of Economics and Political Science,72,65,5,2,3,complete,-,london school of economics and political science
Queen's University Belfast,72,57,11,2,3,complete,-,queen s university belfast
Swansea University,70,52,8,2,3,complete,-,swansea university
University of the Arts London,69,40,22,6,3,complete,-,the arts london university
University of Leeds,68,58,7,3,3,complete,-,leeds university
Queen Mary University of London,72,41,15,8,3,complete,-,queen mary university of london
University of Nottingham,67,41,20,5,3,complete,-,nottingham university
University of Warwick,65,42,22,1,3,complete,-,warwick university
University of Salford,62,42,11,9,3,complete,-,salford university
University of the West of England,58,41,10,3,3,complete,-,the west of england university
University of Bristol,58,33,13,6,3,complete,-,bristol university
University of East London,61,40,9,6,3,complete,-,east london university
University of Portsmouth,58,52,5,1,3,complete,-,portsmouth university
University of Aberdeen,52,43,7,1,3,complete,-,aberdeen university
Birmingham City University,52,37,7,7,3,complete,-,birmingham city university
University of Birmingham,55,44,4,4,3,complete,-,birmingham university
National Oceanography Centre,50,14,14,6,3,complete,-,national oceanography centre
University of Reading,49,30,7,6,3,complete,-,reading university
University of Oxford,48,30,12,6,3,complete,-,oxford university
Nottingham Trent University,46,38,3,4,3,complete,-,nottingham trent university
De Montfort University,45,40,2,2,3,complete,-,de montfort university
Durham University,45,35,8,2,3,complete,-,durham university
