institution_key,institution,type,in_target,contacts,research,· Senior,· Operational,· Academic,finance,it_systems,unclassified,personas_held,valid_emails,missing_personas
manchester university,University of Manchester,University,Yes,205,156,30,118,4,39,8,2,3,121,
king s college london,King's College London,University college,Yes,177,173,46,117,10,2,1,0,3,155,
coventry university,Coventry University,University,Yes,168,147,59,47,41,10,4,6,3,90,
sussex university,University of Sussex,University,Yes,158,117,33,76,4,22,4,13,3,39,
edinburgh university,University of Edinburgh,University,Yes,131,86,55,24,5,31,7,5,3,121,
liverpool university,University of Liverpool,University,Yes,124,108,42,63,1,12,2,1,3,30,
sheffield university,The University of Sheffield,University,Yes,115,95,32,60,3,14,3,3,3,13,
manchester metropolitan university,The Manchester Metropolitan University,University,Yes,109,76,40,36,0,17,14,1,3,105,
york university,University of York,University,Yes,92,77,28,44,5,10,3,2,3,81,
cardiff university,Cardiff University,University,Yes,86,52,22,26,3,19,7,8,3,17,
exeter university,University Of Exeter,University,Yes,95,73,25,43,5,13,9,0,3,49,
newcastle university,Newcastle University,University,Yes,87,86,23,62,0,0,1,0,2,0,Finance  
open university,The Open University,University,Yes,90,70,21,45,4,12,5,3,3,78,
anglia ruskin university,Anglia Ruskin University,University,Yes,89,66,36,26,4,4,6,10,3,76,
glasgow university,University of Glasgow,University,Yes,77,72,23,48,1,1,4,0,3,70,
london school of economics and political science,The London School of Economics and Political Science,University,Yes,72,65,13,45,7,5,2,0,3,64,
queen s university belfast,Queen's University Belfast,University,Yes,72,57,21,32,4,11,2,2,3,64,
swansea university,Swansea University,University,Yes,70,52,25,24,3,8,2,8,3,40,
the arts london university,University of the Arts London,University,Yes,69,40,27,13,0,22,6,0,3,69,
leeds university,University of Leeds,University,Yes,68,58,12,46,0,7,3,0,3,3,
queen mary university of london,Queen Mary University of London,University,Yes,72,41,33,8,0,15,8,5,3,60,
nottingham university,University of Nottingham,University,Yes,67,41,39,2,0,20,5,1,3,24,
warwick university,University of Warwick,University,Yes,65,42,16,25,1,22,1,0,3,2,
salford university,University of Salford,University,Yes,62,42,22,16,4,11,9,0,3,54,
the west of england university,University of the West of England,University,Yes,58,41,25,15,1,10,3,2,3,16,
bristol university,University of Bristol,University,Yes,58,33,28,5,0,13,6,4,3,22,
east london university,University of East London,University,Yes,61,40,26,12,2,9,6,6,3,54,
portsmouth university,University of Portsmouth,University,Yes,58,52,22,25,4,5,1,0,3,49,
aberdeen university,University of Aberdeen,University,Yes,52,43,20,18,4,7,1,0,3,48,
birmingham city university,Birmingham City University,University,Yes,52,37,24,10,3,7,7,1,3,44,
birmingham university,University of Birmingham,University,Yes,55,44,21,20,3,4,4,3,3,37,
national oceanography centre,National Oceanography Centre,Unclassified,Yes,50,14,4,9,1,14,6,10,3,50,
reading university,University of Reading,University,Yes,49,30,27,2,1,7,6,2,3,17,
oxford university,University of Oxford,University,Yes,48,30,14,14,1,12,6,0,3,3,
nottingham trent university,Nottingham Trent University,University,Yes,46,38,14,22,2,3,4,0,3,39,
de montfort university,De Montfort University,University,Yes,45,40,24,12,4,2,2,1,3,8,
durham university,Durham University,University,Yes,45,35,24,11,0,8,2,0,3,29,
surrey university,University of Surrey,University,Yes,45,31,26,5,0,8,2,3,3,18,
keele university,Keele University,University,Yes,42,30,18,12,0,8,3,1,3,10,
bournemouth university,Bournemouth University,University,Yes,41,35,10,23,1,3,2,0,3,3,
lincoln university,University of Lincoln,University,Yes,42,35,16,19,0,6,1,0,3,36,
westminster university,University of Westminster,University,Yes,43,29,22,5,2,8,5,1,3,39,
cranfield university,Cranfield University,University,Yes,41,29,12,15,2,9,3,0,3,26,
national centre for social research,National Centre for Social Research,Research institute,Yes,39,21,18,3,0,2,2,12,3,8,
strathclyde university,University of Strathclyde,University,Yes,41,36,11,24,1,2,2,1,3,36,
bangor university,Bangor University,University,Yes,38,25,8,17,0,8,2,0,3,20,
national gallery,National Gallery,Museum / heritage,Yes,38,8,5,3,0,14,4,4,3,38,
northumbria university,Northumbria University,University,Yes,38,34,18,15,1,1,3,0,3,32,
kent university,University of Kent,University,Yes,37,25,14,11,0,3,5,4,3,14,
leicester university,University of Leicester,University,Yes,37,25,20,5,0,8,3,1,3,28,
southampton university,University of Southampton,University,Yes,38,25,8,15,2,10,3,0,3,33,
bedfordshire university,University of Bedfordshire,University,Yes,37,26,18,8,0,6,3,1,3,34,
london school of hygiene and tropical medicine u of london,London School Of Hygiene And Tropical Medicine U. Of London,University,Yes,34,25,9,15,1,5,4,0,3,34,
canterbury christ church university,Canterbury Christ Church University,University,Yes,32,25,18,6,0,5,2,0,3,8,
essex university,University of Essex,University,Yes,33,24,11,12,0,6,2,0,3,2,
st george s university of london,St George's University Of London,University,Yes,33,31,7,22,0,0,2,0,2,8,Finance  
middlesex university,Middlesex University,University,Yes,32,21,15,6,0,6,5,0,3,28,
leeds beckett university,Leeds Beckett University,University,Yes,31,29,10,18,0,0,2,0,2,0,Finance  
oxford brookes university,Oxford Brookes University,University,Yes,31,19,13,3,2,8,2,2,3,15,
aston university,Aston University,University,Yes,30,23,10,13,0,5,2,0,3,0,
bradford university,University of Bradford,University,Yes,30,28,9,18,1,1,1,0,3,0,
edinburgh napier university,Edinburgh Napier University,University,Yes,30,23,15,7,0,3,3,0,3,5,
hull university,University of Hull,University,Yes,30,28,14,13,1,2,0,0,2,27,IT/Systems
ulster university,Ulster University,University,Yes,30,26,15,10,1,2,2,0,3,0,
cardiff metropolitan university,Cardiff Metropolitan University,University,Yes,28,24,8,13,1,3,0,0,2,3,IT/Systems
institute of development studies,Institute of Development Studies,Research institute,Yes,27,22,3,19,0,3,0,0,2,26,IT/Systems
liverpool john moores university,Liverpool John Moores University,University,Yes,27,21,9,10,2,4,2,0,3,13,
stirling university,University of Stirling,University,Yes,27,20,9,10,1,4,1,0,3,23,
ucl,UCL,University,Yes,27,15,7,6,1,11,1,0,3,21,
city st george s university of london,"City St George's, University of London",University,Yes,26,14,12,2,0,9,1,2,3,24,
historic environment scotland,Historic Environment Scotland,Museum / heritage,Yes,26,9,6,3,0,4,6,6,3,26,
roehampton london university,University of Roehampton London,University,Yes,26,12,12,0,0,5,6,0,3,24,
bath spa university,Bath Spa University,University,Yes,26,19,16,3,0,5,2,0,3,24,
huddersfield university,University of Huddersfield,University,Yes,28,24,10,13,1,2,2,0,3,21,
kingston university,Kingston University,University,Yes,25,13,8,4,0,10,2,0,3,0,
liverpool school of tropical medicine,Liverpool School Of Tropical Medicine,University,Yes,24,16,10,5,1,5,1,0,3,24,
staffordshire university,Staffordshire University,University,Yes,25,19,12,6,1,4,2,0,3,21,
birkbeck university of london,"Birkbeck, University of London",University,Yes,22,13,7,5,1,4,4,1,3,3,
london business school,London Business School,University,Yes,23,16,6,9,1,4,3,0,3,23,
national physical laboratory,National Physical Laboratory,Research institute,Yes,23,1,1,0,0,9,8,1,3,21,
nuffield health,Nuffield Health,Unclassified,No,23,1,1,0,0,16,4,2,3,23,
alan turing institute,The Alan Turing Institute,Research institute,Yes,22,8,5,2,1,2,3,6,3,14,
brunel university london,Brunel University London,University,Yes,22,19,7,12,0,1,2,0,3,17,
heriot watt university,Heriot-Watt University,University,Yes,23,13,9,3,1,8,2,0,3,19,
imperial college london,Imperial College London,University,Yes,22,20,9,8,3,0,2,0,2,19,Finance  
west london university,University of West London,University,Yes,22,16,14,2,0,2,3,1,3,9,
bath university,University of Bath,University,Yes,23,19,9,10,0,2,2,0,3,11,
south wales university,University of South Wales,University,Yes,21,18,10,7,1,1,2,0,3,18,
central lancashire university,University of Central Lancashire,University,Yes,20,18,16,2,0,1,0,1,2,6,IT/Systems
dundee university,University of Dundee,University,Yes,20,15,12,2,1,3,0,2,2,4,IT/Systems
malaria consortium,Malaria Consortium (UK),Charity / membership body,Yes,20,5,3,2,0,4,1,6,3,20,
worcester university,University Of Worcester,University,Yes,21,15,12,3,0,3,3,0,3,19,
national nuclear laboratory,National Nuclear Laboratory,Research institute,Yes,19,3,2,1,0,6,2,3,3,18,
glasgow caledonian university,Glasgow Caledonian University,University,Yes,18,15,7,8,0,2,1,0,3,2,
greenwich university,University of Greenwich,University,Yes,18,14,9,5,0,2,2,0,3,0,
london south bank university,London South Bank University,University,Yes,19,13,7,5,1,5,1,0,3,13,
northampton university,University of Northampton,University,Yes,18,13,11,2,0,3,2,0,3,18,
plymouth university,University Of Plymouth,University,Yes,18,11,5,5,1,4,2,0,3,1,
east anglia university,University of East Anglia,University,Yes,17,10,5,5,0,4,3,0,3,17,
goldsmiths university of london,"Goldsmiths, University of London",University,Yes,17,13,8,4,1,2,2,0,3,16,
niab,Niab,Research institute,Yes,17,7,4,3,0,1,2,4,3,1,
st andrews university,University of St Andrews,University,Yes,17,10,5,5,0,1,4,1,3,17,
university for the creative arts,University for the Creative Arts,University,Yes,17,10,9,1,0,5,2,0,3,3,
cambridge university,University of Cambridge,University,Yes,17,9,5,3,1,6,2,0,3,16,
francis crick institute,The Francis Crick Institute,Research institute,Yes,16,15,7,8,0,0,1,0,2,14,Finance  
harper adams university,Harper Adams University,University,Yes,16,10,9,0,1,3,1,0,3,16,
loughborough university,Loughborough University,University,Yes,16,14,3,11,0,1,1,0,3,14,
royal holloway university of london,"Royal Holloway, University of London",University,Yes,16,8,3,4,1,4,3,0,3,14,
soas university of london,SOAS University of London,University,Yes,16,9,9,0,0,5,1,0,3,12,
solent university,Solent University (Southampton),University,Yes,21,14,12,2,0,3,4,0,3,13,
the west of scotland university,University of the West of Scotland,University,Yes,16,12,5,6,1,1,3,0,3,12,
university college birmingham,University College Birmingham,University,Yes,17,7,6,1,0,2,4,2,3,16,
university college london,University College London,University,Yes,16,9,7,1,1,7,0,0,2,15,IT/Systems
aberystwyth university,Aberystwyth University,University,Yes,15,11,10,1,0,1,3,0,3,5,
city st georges university of london,City St Georges University Of London,University,Yes,15,6,4,2,0,3,6,0,3,0,
queen margaret university,Queen Margaret University,University,Yes,15,6,6,0,0,4,1,3,3,15,
royal veterinary college,Royal Veterinary College,University,Yes,15,6,4,2,0,4,4,0,3,1,
school of advanced study,School of Advanced Study (Univ of London),University,Yes,15,10,7,3,0,0,2,2,2,10,Finance  
universities uk,Universities UK,University,Yes,15,3,3,0,0,1,2,7,3,13,
brac,BRAC,Unclassified,No,14,5,1,4,0,1,0,5,2,14,IT/Systems
embl ebi,EMBL-EBI (European Bioinformatics Institute),Research institute,Yes,14,11,1,10,0,3,0,0,2,13,IT/Systems
jisc,Jisc,Research institute,Yes,14,5,3,2,0,1,4,3,3,13,
london metropolitan university,London Metropolitan University,University,Yes,14,6,6,0,0,4,4,0,3,0,
sunderland university,University of Sunderland,University,Yes,16,12,3,7,1,3,1,0,3,11,
cabi,CABI,Research institute,Yes,13,2,2,0,0,3,3,3,3,13,
royal college of art,Royal College of Art,University,Yes,13,8,8,0,0,4,0,0,2,1,IT/Systems
sheffield hallam university,Sheffield Hallam University,University,Yes,13,10,4,6,0,2,1,0,3,0,
sruc,SRUC,Research institute,Yes,13,12,7,5,0,1,0,0,2,11,IT/Systems
uk dementia research institute,UK Dementia Research Institute,Research institute,Yes,13,9,4,5,0,3,1,0,3,13,
brunel university of london,Brunel University Of London,University,Yes,12,7,7,0,0,4,1,0,3,10,
chester university,University of Chester,University,Yes,12,11,6,5,0,1,0,0,2,1,IT/Systems
birdlife international,BirdLife International,Unclassified,No,11,1,1,0,0,2,2,3,3,0,
cumbria university,University of Cumbria,University,Yes,11,6,2,4,0,4,1,0,3,10,
hertfordshire university,University Of Hertfordshire,University,Yes,10,6,3,3,0,1,2,0,3,9,
british museum,British Museum,Museum / heritage,Yes,9,7,4,3,0,2,0,0,2,8,IT/Systems
city university of london,City University Of London,University,Yes,9,9,4,5,0,0,0,0,1,6,Finance  IT/Systems
edge hill university,Edge Hill University,University,Yes,10,7,2,4,1,3,0,0,2,7,IT/Systems
international institute for environment and development,International Institute for Environment and Development,Research institute,Yes,9,3,1,2,0,2,1,2,3,0,
ipsos sa,Ipsos SA,Company,No,9,9,9,0,0,0,0,0,1,7,Finance  IT/Systems
robert gordon university,Robert Gordon University,University,Yes,9,8,4,2,1,1,0,0,2,8,IT/Systems
york st john university,York St John University,University,Yes,10,8,3,4,1,0,2,0,2,8,Finance  
