dimension,views
"Greater Nottingham, United Kingdom",10
Washington DC-Baltimore Area,22
Atlanta Metropolitan Area,12
"Greater Southampton Area, United Kingdom",8
Greater Chicago Area,38
"Galway Metropolitan Area, Ireland",7
"Greater Ahmedabad Area, India",32
"Greater Portsmouth Area, United Kingdom",7
"Greater Dublin, Ireland",14
"Milton Keynes, United Kingdom",18
"Greater Delhi Area, India",41
"Greater Reading Area, United Kingdom",30
"Greater Montreal Metropolitan Area, Canada",11
San Francisco Bay Area,13
"Manchester Area, United Kingdom, United Kingdom",7
"Greater Kolkata Area, India",47
Los Angeles Metropolitan Area,8
"Taplow, United Kingdom",8
"Greater Milan Metropolitan Area, Italy",13
Greater Boston,15
"Bishop's Stortford, United Kingdom",46
"Noida, India",17
"Greater Leicester Area, United Kingdom",9
"Greater Hyderabad Area, India",48
"London Area, United Kingdom, United Kingdom",560
"Greater Leeds Area, United Kingdom",11
"Greater Sydney Area, Australia",12
"Greater Jaipur Area, India",22
New York City Metropolitan Area,36
"King's Lynn, United Kingdom",7
"Udaipur, India",14
"Greater Chennai Area, India",197
Dallas-Fort Worth Metroplex,8
"Greater Glasgow Area, United Kingdom",8
Greater Philadelphia,9
"Novi Sad Metropolitan Area, Serbia",7
"Greater Guildford Area, United Kingdom, United Kingdom",8
"Pune/Pimpri-Chinchwad Area, India",97
Detroit Metropolitan Area,7
"Greater Coimbatore Area, India",17
"Greater Derby Area, United Kingdom",8
"Greater Edinburgh Area, United Kingdom",14
"Greater Dundee Area, United Kingdom",7
"Greater Bengaluru Area, India",98
"Greater Indore Area, India",13
"Greater Vadodara Area, India",18
"Jakarta Metropolitan Area, Indonesia",8
"Greater Bristol Area, United Kingdom, United Kingdom",13
"Greater Cambridge Area, United Kingdom",22
"Greater Kuala Lumpur, Malaysia",15
"Mumbai Metropolitan Region, India",597
"Birmingham, United Kingdom",19
"Greater Toronto Area, Canada, Canada",35
